KPI_Name,Source,Consignee,Consignee_Name,Parent_Name,Last Estimated Ocean Arrival Date,Country_Name,Last Estimated Ocean Arrival Location,Last Actual Ocean Arrival Date,Carrier Release Date (UTC),CBL Number,Carrier SCAC,Week,OnTime/Delay_ Status,CBL_Number_Count,On-Time_Count,Delay_Count,On_Time_Percentage
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,05-02-2025,Denmark,DKAAR,05-02-2025,,MAEU246989217,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,05-02-2025,Denmark,DKAAR,05-02-2025,,MAEU246989759,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU247565209,MAEU,202508,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,31-12-2024,Denmark,DKAAR,31-12-2024,,MAEU245505349,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,27-02-2025,Denmark,DKAAR,26-02-2025,,MAEU285352591,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,28-01-2025,France,FRFSM,28-01-2025,,MAEU246440357,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,29-01-2025,Denmark,DKAAR,29-01-2025,,MAEU246630760,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU248075279,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU247565183,MAEU,202508,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU247977134,MAEU,202508,Delay,1,,1.0,
